기간	자치구	동	성별	구분	구분	구분	구분	구분	구분	구분	구분
2008	중랑구	신내1동	계	4,296	4,676	1,802	1,793	1,311	1,356	1,183	1,527
2008	중랑구	신내1동	남자	2,145	2,341	883	876	646	645	616	820
2008	중랑구	신내1동	여자	2,151	2,335	919	917	665	711	567	707
2008	중랑구	신내2동	계	3,965	4,264	1,371	1,360	1,525	1,565	1,069	1,339
2008	중랑구	신내2동	남자	1,876	2,077	649	649	735	774	492	654
2008	중랑구	신내2동	여자	2,089	2,187	722	711	790	791	577	685
2008	중랑구	면목본동	계	7,124	7,257	2,808	2,915	2,424	2,082	1,892	2,260
2008	중랑구	면목본동	남자	3,596	3,548	1,419	1,440	1,225	999	952	1,109
2008	중랑구	면목본동	여자	3,528	3,709	1,389	1,475	1,199	1,083	940	1,151
2008	중랑구	면목3.8동	계	6,015	6,119	2,576	2,560	2,079	1,890	1,360	1,669
2008	중랑구	면목3.8동	남자	3,065	3,025	1,291	1,262	1,073	904	701	859
2008	중랑구	면목3.8동	여자	2,950	3,094	1,285	1,298	1,006	986	659	810
2008	중랑구	망우본동	계	7,364	6,439	3,034	2,167	2,002	1,557	2,328	2,715
2008	중랑구	망우본동	남자	3,737	3,273	1,513	1,086	1,044	810	1,180	1,377
2008	중랑구	망우본동	여자	3,627	3,166	1,521	1,081	958	747	1,148	1,338
2008	성북구	소계	계	87,700	87,222	25,181	25,181	39,919	38,064	22,600	23,977
2008	성북구	소계	남자	43,120	43,375	12,263	12,263	19,691	18,892	11,166	12,220
2008	성북구	소계	여자	44,580	43,847	12,918	12,918	20,228	19,172	11,434	11,757
2008	성북구	돈암1동	계	2,842	2,896	942	945	1,223	1,188	677	763
2008	성북구	돈암1동	남자	1,401	1,443	457	476	600	584	344	383
2008	성북구	돈암1동	여자	1,441	1,453	485	469	623	604	333	380
2008	성북구	돈암2동	계	4,203	4,185	1,552	1,443	1,731	1,815	920	927
2008	성북구	돈암2동	남자	1,952	1,976	688	659	812	854	452	463
2008	성북구	돈암2동	여자	2,251	2,209	864	784	919	961	468	464
2008	성북구	안암동	계	4,227	4,390	888	1,043	1,699	1,899	1,640	1,448
2008	성북구	안암동	남자	2,227	2,319	435	512	879	1,008	913	799
2008	성북구	안암동	여자	2,000	2,071	453	531	820	891	727	649
2008	성북구	보문동	계	3,431	3,600	819	1,052	1,687	1,617	925	931
2008	성북구	보문동	남자	1,705	1,762	384	494	858	791	463	477
2008	성북구	보문동	여자	1,726	1,838	435	558	829	826	462	454
2008	성북구	정능1동	계	3,867	3,592	1,589	1,567	1,452	1,196	826	829
2008	성북구	정능1동	남자	1,889	1,762	778	763	705	588	406	411
2008	성북구	정능1동	여자	1,978	1,830	811	804	747	608	420	418
2008	성북구	정능2동	계	5,473	5,053	2,367	2,016	2,074	1,730	1,032	1,307
2008	성북구	정능2동	남자	2,658	2,534	1,163	986	1,005	885	490	663
2008	성북구	정능2동	여자	2,815	2,519	1,204	1,030	1,069	845	542	644
2008	성북구	정능3동	계	3,552	3,814	1,128	1,252	1,190	1,356	1,234	1,206
2008	성북구	정능3동	남자	1,908	2,014	574	639	617	732	717	643
2008	성북구	정능3동	여자	1,644	1,800	554	613	573	624	517	563
2008	성북구	정능4동	계	5,981	4,941	1,845	1,421	2,847	2,067	1,289	1,453
2008	성북구	정능4동	남자	2,899	2,458	906	701	1,389	1,023	604	734
2008	성북구	정능4동	여자	3,082	2,483	939	720	1,458	1,044	685	719
2008	성북구	길음1동	계	4,499	4,706	938	1,101	2,405	2,283	1,156	1,322
2008	성북구	길음1동	남자	2,154	2,268	437	541	1,153	1,084	564	643
2008	성북구	길음1동	여자	2,345	2,438	501	560	1,252	1,199	592	679
2008	성북구	길음2동	계	3,896	3,798	900	766	2,024	2,045	972	987
2008	성북구	길음2동	남자	1,890	1,862	444	381	978	991	468	490
2008	성북구	길음2동	여자	2,006	1,936	456	385	1,046	1,054	504	497
2008	성북구	월곡1동	계	4,930	4,389	1,289	1,134	2,623	1,968	1,018	1,287
2008	성북구	월곡1동	남자	2,413	2,200	647	568	1,295	977	471	655
2008	성북구	월곡1동	여자	2,517	2,189	642	566	1,328	991	547	632
2008	성북구	월곡2동	계	4,520	3,641	1,435	1,161	2,034	1,463	1,051	1,017
2008	성북구	월곡2동	남자	2,172	1,788	704	580	986	689	482	519
2008	성북구	월곡2동	여자	2,348	1,853	731	581	1,048	774	569	498
2008	성북구	장위1동	계	4,506	4,626	1,332	1,141	2,175	2,171	999	1,314
2008	성북구	장위1동	남자	2,212	2,306	656	555	1,063	1,073	493	678
2008	성북구	장위1동	여자	2,294	2,320	676	586	1,112	1,098	506	636
2008	성북구	장위2동	계	3,860	3,893	1,386	1,218	1,556	1,694	918	981
2008	성북구	장위2동	남자	1,975	1,975	716	590	807	881	452	504
2008	성북구	장위2동	여자	1,885	1,918	670	628	749	813	466	477
2008	성북구	장위3동	계	3,078	3,021	816	704	1,525	1,507	737	810
2008	성북구	장위3동	남자	1,571	1,550	408	357	771	759	392	434
2008	성북구	장위3동	여자	1,507	1,471	408	347	754	748	345	376
2008	성북구	성북동	계	3,866	3,839	1,153	1,319	1,686	1,492	1,027	1,028
2008	성북구	성북동	남자	1,812	1,787	540	569	797	716	475	502
2008	성북구	성북동	여자	2,054	2,052	613	750	889	776	552	526
2008	성북구	삼선동	계	5,335	5,684	1,480	1,691	2,409	2,482	1,446	1,511
2008	성북구	삼선동	남자	2,600	2,792	716	822	1,162	1,236	722	734
2008	성북구	삼선동	여자	2,735	2,892	764	869	1,247	1,246	724	777
2008	성북구	동선동	계	3,695	3,921	1,232	1,514	1,279	1,399	1,184	1,008
2008	성북구	동선동	남자	1,620	1,753	544	715	621	587	455	451
2008	성북구	동선동	여자	2,075	2,168	688	799	658	812	729	557
2008	성북구	종암동	계	6,180	6,741	1,168	1,616	3,050	3,228	1,962	1,897
2008	성북구	종암동	남자	3,186	3,535	615	821	1,559	1,670	1,012	1,044
2008	성북구	종암동	여자	2,994	3,206	553	795	1,491	1,558	950	853
2008	성북구	석관동	계	5,759	6,492	922	1,077	3,250	3,464	1,587	1,951
2008	성북구	석관동	남자	2,876	3,291	451	534	1,634	1,764	791	993
2008	성북구	석관동	여자	2,883	3,201	471	543	1,616	1,700	796	958
2008	강북구	소계	계	63,075	68,257	22,864	22,864	26,409	27,403	13,802	17,990
2008	강북구	소계	남자	30,910	33,703	11,228	11,228	12,992	13,474	6,690	9,001
2008	강북구	소계	여자	32,165	34,554	11,636	11,636	13,417	13,929	7,112	8,989
2008	강북구	번1동	계	7,078	6,693	3,124	2,653	2,573	2,366	1,381	1,674
2008	강북구	번1동	남자	3,505	3,306	1,562	1,313	1,272	1,151	671	842
2008	강북구	번1동	여자	3,573	3,387	1,562	1,340	1,301	1,215	710	832
2008	강북구	번2동	계	5,357	5,431	2,198	2,159	2,020	1,925	1,139	1,347
2008	강북구	번2동	남자	2,703	2,752	1,083	1,076	1,036	963	584	713
2008	강북구	번2동	여자	2,654	2,679	1,115	1,083	984	962	555	634
2008	강북구	번3동	계	6,291	6,601	2,006	1,917	2,845	2,957	1,440	1,727
2008	강북구	번3동	남자	3,007	3,202	951	903	1,365	1,439	691	860
2008	강북구	번3동	여자	3,284	3,399	1,055	1,014	1,480	1,518	749	867
2008	강북구	수유1동	계	5,976	7,176	2,393	2,812	2,346	2,719	1,237	1,645
2008	강북구	수유1동	남자	2,965	3,540	1,199	1,385	1,163	1,329	603	826
2008	강북구	수유1동	여자	3,011	3,636	1,194	1,427	1,183	1,390	634	819
2008	강북구	수유2동	계	3,453	5,669	814	2,173	1,716	2,265	923	1,231
2008	강북구	수유2동	남자	1,626	2,828	391	1,095	815	1,122	420	611
2008	강북구	수유2동	여자	1,827	2,841	423	1,078	901	1,143	503	620
2008	강북구	수유3동	계	3,996	4,240	1,141	1,018	1,808	1,971	1,047	1,251
2008	강북구	수유3동	남자	1,990	2,053	573	479	905	981	512	593
2008	강북구	수유3동	여자	2,006	2,187	568	539	903	990	535	658
2008	강북구	삼양동	계	3,119	3,547	1,060	1,086	1,312	1,404	747	1,057
2008	강북구	삼양동	남자	1,530	1,780	497	518	654	720	379	542
2008	강북구	삼양동	여자	1,589	1,767	563	568	658	684	368	515
2008	강북구	미아동	계	2,667	3,003	592	591	1,439	1,486	636	926
2008	강북구	미아동	남자	1,277	1,469	274	277	715	738	288	454
2008	강북구	미아동	여자	1,390	1,534	318	314	724	748	348	472
2008	강북구	송중동	계	4,584	4,651	1,928	1,712	1,675	1,647	981	1,292
2008	강북구	송중동	남자	2,266	2,333	947	827	839	833	480	673
2008	강북구	송중동	여자	2,318	2,318	981	885	836	814	501	619
2008	강북구	송천동	계	4,341	4,600	1,648	1,432	1,778	1,881	915	1,287
2008	강북구	송천동	남자	2,069	2,251	805	714	850	909	414	628
2008	강북구	송천동	여자	2,272	2,349	843	718	928	972	501	659
2008	강북구	삼각산동	계	5,506	5,486	1,908	1,662	2,410	2,343	1,188	1,481
2008	강북구	삼각산동	남자	2,735	2,658	942	833	1,200	1,138	593	687
2008	강북구	삼각산동	여자	2,771	2,828	966	829	1,210	1,205	595	794
2008	강북구	우이동	계	4,280	4,433	1,424	1,131	2,011	2,007	845	1,295
2008	강북구	우이동	남자	2,082	2,142	716	553	956	944	410	645
2008	강북구	우이동	여자	2,198	2,291	708	578	1,055	1,063	435	650
2008	강북구	인수동	계	6,427	6,727	2,628	2,518	2,476	2,432	1,323	1,777
2008	강북구	인수동	남자	3,155	3,389	1,288	1,255	1,222	1,207	645	927
2008	강북구	인수동	여자	3,272	3,338	1,340	1,263	1,254	1,225	678	850
2008	도봉구	소계	계	66,651	70,401	21,559	21,559	27,959	27,174	17,133	21,668
2008	도봉구	소계	남자	32,693	34,609	10,523	10,523	13,724	13,204	8,446	10,882
2008	도봉구	소계	여자	33,958	35,792	11,036	11,036	14,235	13,970	8,687	10,786
2008	도봉구	쌍문1동	계	4,261	4,692	901	1,015	2,405	2,381	955	1,296
2008	도봉구	쌍문1동	남자	2,079	2,291	432	498	1,182	1,133	465	660
2008	도봉구	쌍문1동	여자	2,182	2,401	469	517	1,223	1,248	490	636
2008	도봉구	쌍문2동	계	4,322	4,378	1,746	1,714	1,608	1,364	968	1,300
2008	도봉구	쌍문2동	남자	2,067	2,150	841	857	772	646	454	647
2008	도봉구	쌍문2동	여자	2,255	2,228	905	857	836	718	514	653
2008	도봉구	쌍문3동	계	3,833	3,866	1,145	1,354	1,792	1,406	896	1,106
2008	도봉구	쌍문3동	남자	1,890	1,863	556	645	890	675	444	543
2008	도봉구	쌍문3동	여자	1,943	2,003	589	709	902	731	452	563
2008	도봉구	쌍문4동	계	3,693	3,799	1,639	1,517	1,263	1,305	791	977
2008	도봉구	쌍문4동	남자	1,765	1,848	771	740	610	625	384	483
2008	도봉구	쌍문4동	여자	1,928	1,951	868	777	653	680	407	494
2008	도봉구	방학1동	계	6,188	6,506	2,574	2,340	2,101	2,215	1,513	1,951
2008	도봉구	방학1동	남자	3,086	3,245	1,284	1,140	1,045	1,125	757	980
2008	도봉구	방학1동	여자	3,102	3,261	1,290	1,200	1,056	1,090	756	971
2008	도봉구	방학2동	계	4,922	4,945	1,990	1,994	1,675	1,393	1,257	1,558
2008	도봉구	방학2동	남자	2,441	2,450	974	978	841	671	626	801
2008	도봉구	방학2동	여자	2,481	2,495	1,016	1,016	834	722	631	757
2008	도봉구	방학3동	계	4,998	5,339	1,881	1,870	1,944	1,978	1,173	1,491
2008	도봉구	방학3동	남자	2,446	2,602	928	877	942	980	576	745
2008	도봉구	방학3동	여자	2,552	2,737	953	993	1,002	998	597	746
2008	도봉구	창1동	계	5,027	5,477	1,495	1,741	2,146	2,104	1,386	1,632
2008	도봉구	창1동	남자	2,405	2,662	725	832	1,049	1,026	631	804
2008	도봉구	창1동	여자	2,622	2,815	770	909	1,097	1,078	755	828
2008	도봉구	창2동	계	6,019	6,282	1,744	1,772	2,837	2,637	1,438	1,873
2008	도봉구	창2동	남자	2,937	3,068	858	870	1,373	1,258	706	940
2008	도봉구	창2동	여자	3,082	3,214	886	902	1,464	1,379	732	933
2008	도봉구	창3동	계	3,017	3,208	766	818	1,617	1,488	634	902
2008	도봉구	창3동	남자	1,532	1,600	373	403	832	736	327	461
2008	도봉구	창3동	여자	1,485	1,608	393	415	785	752	307	441
2008	도봉구	창4동	계	5,066	5,251	1,094	1,020	2,385	2,539	1,587	1,692
2008	도봉구	창4동	남자	2,467	2,587	518	505	1,151	1,229	798	853
2008	도봉구	창4동	여자	2,599	2,664	576	515	1,234	1,310	789	839
2008	도봉구	창5동	계	5,219	5,498	1,821	1,462	2,092	2,365	1,306	1,671
2008	도봉구	창5동	남자	2,525	2,651	870	701	1,017	1,141	638	809
2008	도봉구	창5동	여자	2,694	2,847	951	761	1,075	1,224	668	862
2008	도봉구	도봉1동	계	4,841	5,405	1,386	1,595	1,871	1,695	1,584	2,115
2008	도봉구	도봉1동	남자	2,475	2,739	721	804	949	827	805	1,108
2008	도봉구	도봉1동	여자	2,366	2,666	665	791	922	868	779	1,007
2008	도봉구	도봉2동	계	5,498	6,025	1,451	1,438	2,328	2,418	1,719	2,169
2008	도봉구	도봉2동	남자	2,708	2,986	713	713	1,124	1,192	871	1,081
2008	도봉구	도봉2동	여자	2,790	3,039	738	725	1,204	1,226	848	1,088
2008	노원구	소계	계	100,614	104,915	32,435	32,435	38,734	38,372	29,445	34,108
2008	노원구	소계	남자	48,553	51,207	15,548	15,548	18,964	18,730	14,041	16,929
2008	노원구	소계	여자	52,061	53,708	16,887	16,887	19,770	19,642	15,404	17,179
2008	노원구	월계1동	계	3,167	3,392	873	764	1,374	1,543	920	1,085
2008	노원구	월계1동	남자	1,614	1,683	436	369	690	760	488	554
2008	노원구	월계1동	여자	1,553	1,709	437	395	684	783	432	531
2008	노원구	월계2동	계	3,714	3,946	542	683	2,187	1,933	985	1,330
2008	노원구	월계2동	남자	1,808	1,960	267	333	1,075	966	466	661
2008	노원구	월계2동	여자	1,906	1,986	275	350	1,112	967	519	669
2008	노원구	월계3동	계	7,790	8,325	1,674	1,898	3,905	3,637	2,211	2,790
2008	노원구	월계3동	남자	3,811	4,192	810	936	1,926	1,844	1,075	1,412
2008	노원구	월계3동	여자	3,979	4,133	864	962	1,979	1,793	1,136	1,378
2008	노원구	공릉2동	계	7,448	8,003	1,613	1,804	2,859	3,135	2,976	3,064
2008	노원구	공릉2동	남자	3,662	3,915	798	873	1,425	1,550	1,439	1,492
2008	노원구	공릉2동	여자	3,786	4,088	815	931	1,434	1,585	1,537	1,572
2008	노원구	하계1동	계	4,955	5,073	1,734	1,684	1,929	1,977	1,292	1,412
2008	노원구	하계1동	남자	2,431	2,521	835	819	953	966	643	736
2008	노원구	하계1동	여자	2,524	2,552	899	865	976	1,011	649	676
2008	노원구	하계2동	계	3,822	3,960	1,429	1,305	1,416	1,482	977	1,173
2008	노원구	하계2동	남자	1,836	1,907	668	628	702	719	466	560
2008	노원구	하계2동	여자	1,986	2,053	761	677	714	763	511	613
2008	노원구	중계본동	계	4,663	4,693	1,827	1,669	1,589	1,755	1,247	1,269
2008	노원구	중계본동	남자	2,260	2,278	898	796	746	845	616	637
2008	노원구	중계본동	여자	2,403	2,415	929	873	843	910	631	632
2008	노원구	중계1동	계	4,996	4,995	1,852	2,028	1,690	1,650	1,454	1,317
2008	노원구	중계1동	남자	2,431	2,478	896	997	843	813	692	668
2008	노원구	중계1동	여자	2,565	2,517	956	1,031	847	837	762	649
2008	노원구	중계4동	계	4,176	4,214	1,781	1,744	1,263	1,206	1,132	1,264
2008	노원구	중계4동	남자	2,052	2,050	885	841	615	578	552	631
2008	노원구	중계4동	여자	2,124	2,164	896	903	648	628	580	633
2008	노원구	상계1동	계	6,203	6,704	2,015	1,651	2,224	2,529	1,964	2,524
2008	노원구	상계1동	남자	3,007	3,242	965	796	1,102	1,173	940	1,273
2008	노원구	상계1동	여자	3,196	3,462	1,050	855	1,122	1,356	1,024	1,251
2008	노원구	상계2동	계	4,555	4,655	2,248	1,880	1,229	1,481	1,078	1,294
2008	노원구	상계2동	남자	2,182	2,257	1,060	895	625	707	497	655
2008	노원구	상계2동	여자	2,373	2,398	1,188	985	604	774	581	639
2008	노원구	상계5동	계	4,619	4,895	2,123	2,123	1,351	1,346	1,145	1,426
2008	노원구	상계5동	남자	2,196	2,411	979	1,021	659	660	558	730
2008	노원구	상계5동	여자	2,423	2,484	1,144	1,102	692	686	587	696
2008	노원구	상계8동	계	5,176	5,673	1,391	1,811	2,192	1,864	1,593	1,998
2008	노원구	상계8동	남자	2,327	2,644	642	852	991	876	694	916
2008	노원구	상계8동	여자	2,849	3,029	749	959	1,201	988	899	1,082
2008	노원구	상계9동	계	4,526	4,627	1,819	1,698	1,408	1,421	1,299	1,508
2008	노원구	상계9동	남자	2,173	2,270	880	818	680	694	613	758
2008	노원구	상계9동	여자	2,353	2,357	939	880	728	727	686	750
2008	노원구	상계10동	계	4,285	4,272	1,555	1,476	1,506	1,482	1,224	1,314
2008	노원구	상계10동	남자	2,006	1,994	740	674	706	710	560	610
2008	노원구	상계10동	여자	2,279	2,278	815	802	800	772	664	704
2008	노원구	공릉1.3동	계	7,009	7,497	1,753	2,037	3,037	2,913	2,219	2,547
2008	노원구	공릉1.3동	남자	3,490	3,768	878	1,009	1,538	1,470	1,074	1,289
2008	노원구	공릉1.3동	여자	3,519	3,729	875	1,028	1,499	1,443	1,145	1,258
2008	노원구	상계3.4동	계	5,962	6,206	2,215	1,813	1,957	1,981	1,790	2,412
2008	노원구	상계3.4동	남자	2,972	3,073	1,099	871	1,015	980	858	1,222
2008	노원구	상계3.4동	여자	2,990	3,133	1,116	942	942	1,001	932	1,190
2008	노원구	상계6.7동	계	6,645	7,090	1,756	2,066	2,706	2,669	2,183	2,355
2008	노원구	상계6.7동	남자	3,052	3,338	776	933	1,289	1,274	987	1,131
2008	노원구	상계6.7동	여자	3,593	3,752	980	1,133	1,417	1,395	1,196	1,224
2008	노원구	중계2.3동	계	6,903	6,695	2,235	2,301	2,912	2,368	1,756	2,026
2008	노원구	중계2.3동	남자	3,243	3,226	1,036	1,087	1,384	1,145	823	994
2008	노원구	중계2.3동	여자	3,660	3,469	1,199	1,214	1,528	1,223	933	1,032
2008	은평구	소계	계	105,127	108,163	46,240	46,240	34,881	28,495	24,006	33,428
2008	은평구	소계	남자	51,405	53,132	22,467	22,467	17,155	14,053	11,783	16,612
2008	은평구	소계	여자	53,722	55,031	23,773	23,773	17,726	14,442	12,223	16,816
2008	은평구	녹번동	계	7,915	7,698	3,275	2,887	2,655	2,287	1,985	2,524
2008	은평구	녹번동	남자	3,855	3,802	1,593	1,408	1,320	1,144	942	1,250
2008	은평구	녹번동	여자	4,060	3,896	1,682	1,479	1,335	1,143	1,043	1,274
2008	은평구	불광1동	계	6,981	6,209	3,042	2,439	2,169	1,784	1,770	1,986
2008	은평구	불광1동	남자	3,341	3,031	1,448	1,173	1,048	884	845	974
2008	은평구	불광1동	여자	3,640	3,178	1,594	1,266	1,121	900	925	1,012
2008	은평구	불광2동	계	6,717	9,382	3,174	4,393	1,751	2,066	1,792	2,923
2008	은평구	불광2동	남자	3,330	4,567	1,601	2,170	839	977	890	1,420
2008	은평구	불광2동	여자	3,387	4,815	1,573	2,223	912	1,089	902	1,503
2008	은평구	갈현1동	계	5,451	5,658	2,446	2,217	1,390	1,210	1,615	2,231
2008	은평구	갈현1동	남자	2,678	2,790	1,205	1,102	682	599	791	1,089
2008	은평구	갈현1동	여자	2,773	2,868	1,241	1,115	708	611	824	1,142
2008	은평구	갈현2동	계	6,177	6,497	3,243	2,861	1,372	1,508	1,562	2,128
2008	은평구	갈현2동	남자	2,969	3,092	1,561	1,356	668	747	740	989
2008	은평구	갈현2동	여자	3,208	3,405	1,682	1,505	704	761	822	1,139
2008	은평구	구산동	계	6,911	7,076	3,489	3,198	1,873	1,576	1,549	2,302
2008	은평구	구산동	남자	3,537	3,602	1,683	1,530	1,006	834	848	1,238
2008	은평구	구산동	여자	3,374	3,474	1,806	1,668	867	742	701	1,064
2008	은평구	대조동	계	6,896	6,952	3,457	2,882	1,739	1,701	1,700	2,369
2008	은평구	대조동	남자	3,286	3,381	1,656	1,406	822	818	808	1,157
2008	은평구	대조동	여자	3,610	3,571	1,801	1,476	917	883	892	1,212
2008	은평구	응암1동	계	7,464	7,138	3,484	2,812	2,360	2,099	1,620	2,227
2008	은평구	응암1동	남자	3,612	3,468	1,658	1,325	1,169	1,038	785	1,105
2008	은평구	응암1동	여자	3,852	3,670	1,826	1,487	1,191	1,061	835	1,122
2008	은평구	응암2동	계	3,528	11,648	1,477	6,126	1,263	3,103	788	2,419
2008	은평구	응암2동	남자	1,714	5,742	705	3,009	616	1,536	393	1,197
2008	은평구	응암2동	여자	1,814	5,906	772	3,117	647	1,567	395	1,222
2008	은평구	응암3동	계	8,298	7,454	3,902	3,026	2,938	2,272	1,458	2,156
2008	은평구	응암3동	남자	4,077	3,606	1,923	1,434	1,421	1,100	733	1,072
2008	은평구	응암3동	여자	4,221	3,848	1,979	1,592	1,517	1,172	725	1,084
2008	은평구	역촌동	계	10,652	11,476	5,291	5,559	3,173	2,589	2,188	3,328
2008	은평구	역촌동	남자	5,104	5,576	2,538	2,660	1,528	1,275	1,038	1,641
2008	은평구	역촌동	여자	5,548	5,900	2,753	2,899	1,645	1,314	1,150	1,687
2008	은평구	신사1동	계	5,555	6,170	2,771	2,873	1,723	1,473	1,061	1,824
2008	은평구	신사1동	남자	2,717	3,020	1,323	1,430	851	686	543	904
2008	은평구	신사1동	여자	2,838	3,150	1,448	1,443	872	787	518	920
2008	은평구	신사2동	계	4,889	4,886	2,104	1,924	1,724	1,467	1,061	1,495
2008	은평구	신사2동	남자	2,489	2,472	1,085	961	867	760	537	751
2008	은평구	신사2동	여자	2,400	2,414	1,019	963	857	707	524	744
2008	은평구	증산동	계	4,127	3,953	1,134	1,176	1,965	1,540	1,028	1,237
2008	은평구	증산동	남자	2,053	2,000	560	575	992	771	501	654
2008	은평구	증산동	여자	2,074	1,953	574	601	973	769	527	583
2008	은평구	수색동	계	3,269	3,661	696	851	1,479	1,198	1,094	1,612
2008	은평구	수색동	남자	1,634	1,814	341	427	719	572	574	815
2008	은평구	수색동	여자	1,635	1,847	355	424	760	626	520	797
2008	은평구	진관동	계	10,297	2,305	3,255	1,016	5,307	622	1,735	667
2008	은평구	진관동	남자	5,009	1,169	1,587	501	2,607	312	815	356
2008	은평구	진관동	여자	5,288	1,136	1,668	515	2,700	310	920	311
2008	서대문구	소계	계	67,973	86,337	21,872	21,872	28,135	40,672	17,966	23,793
2008	서대문구	소계	남자	33,000	41,971	10,496	10,496	13,768	19,658	8,736	11,817
2008	서대문구	소계	여자	34,973	44,366	11,376	11,376	14,367	21,014	9,230	11,976
2008	서대문구	천연동	계	3,711	4,450	650	586	2,042	2,625	1,019	1,239
2008	서대문구	천연동	남자	1,784	2,173	305	295	984	1,245	495	633
2008	서대문구	천연동	여자	1,927	2,277	345	291	1,058	1,380	524	606
2008	서대문구	홍제1동	계	5,121	5,465	1,719	1,461	2,100	2,436	1,302	1,568
2008	서대문구	홍제1동	남자	2,436	2,618	814	685	1,017	1,151	605	782
2008	서대문구	홍제1동	여자	2,685	2,847	905	776	1,083	1,285	697	786
2008	서대문구	홍제3동	계	3,719	3,794	1,186	1,057	1,606	1,618	927	1,119
2008	서대문구	홍제3동	남자	1,809	1,861	575	517	801	781	433	563
2008	서대문구	홍제3동	여자	1,910	1,933	611	540	805	837	494	556
2008	서대문구	홍제2동	계	2,711	2,949	847	560	1,214	1,643	650	746
2008	서대문구	홍제2동	남자	1,292	1,428	398	271	592	804	302	353
2008	서대문구	홍제2동	여자	1,419	1,521	449	289	622	839	348	393
2008	서대문구	홍은1동	계	4,179	4,715	1,262	1,139	1,823	2,119	1,094	1,457
2008	서대문구	홍은1동	남자	2,056	2,300	630	557	899	1,010	527	733
2008	서대문구	홍은1동	여자	2,123	2,415	632	582	924	1,109	567	724
2008	서대문구	홍은2동	계	6,234	6,024	2,425	1,707	2,404	2,508	1,405	1,809
2008	서대문구	홍은2동	남자	3,029	2,884	1,176	766	1,168	1,216	685	902
2008	서대문구	홍은2동	여자	3,205	3,140	1,249	941	1,236	1,292	720	907
2008	서대문구	남가좌1동	계	1,464	12,072	469	4,526	554	5,300	441	2,246
2008	서대문구	남가좌1동	남자	737	5,860	223	2,204	284	2,552	230	1,104
2008	서대문구	남가좌1동	여자	727	6,212	246	2,322	270	2,748	211	1,142
2008	서대문구	남가좌2동	계	6,481	6,351	3,264	1,813	1,842	2,641	1,375	1,897
2008	서대문구	남가좌2동	남자	3,141	3,106	1,562	894	901	1,287	678	925
2008	서대문구	남가좌2동	여자	3,340	3,245	1,702	919	941	1,354	697	972
2008	서대문구	북가좌1동	계	2,179	10,743	765	3,607	849	4,943	565	2,193
2008	서대문구	북가좌1동	남자	1,086	5,303	378	1,749	413	2,443	295	1,111
2008	서대문구	북가좌1동	여자	1,093	5,440	387	1,858	436	2,500	270	1,082
2008	서대문구	북가좌2동	계	7,768	6,923	4,032	1,185	2,439	3,625	1,297	2,113
2008	서대문구	북가좌2동	남자	3,764	3,410	1,953	573	1,189	1,768	622	1,069
2008	서대문구	북가좌2동	여자	4,004	3,513	2,079	612	1,250	1,857	675	1,044
2008	서대문구	충현동	계	5,442	4,593	1,053	927	2,967	2,241	1,422	1,425
2008	서대문구	충현동	남자	2,715	2,302	514	451	1,504	1,121	697	730
2008	서대문구	충현동	여자	2,727	2,291	539	476	1,463	1,120	725	695
2008	서대문구	북아현동	계	4,220	3,885	643	733	2,293	1,967	1,284	1,185
2008	서대문구	북아현동	남자	2,040	1,838	301	342	1,149	936	590	560
2008	서대문구	북아현동	여자	2,180	2,047	342	391	1,144	1,031	694	625
2008	서대문구	신촌동	계	5,733	5,694	671	712	2,559	3,024	2,503	1,958
2008	서대문구	신촌동	남자	2,647	2,637	304	330	1,192	1,380	1,151	927
2008	서대문구	신촌동	여자	3,086	3,057	367	382	1,367	1,644	1,352	1,031
2008	서대문구	연희동	계	9,011	8,679	2,886	1,859	3,443	3,982	2,682	2,838
2008	서대문구	연희동	남자	4,464	4,251	1,363	862	1,675	1,964	1,426	1,425
2008	서대문구	연희동	여자	4,547	4,428	1,523	997	1,768	2,018	1,256	1,413
2008	마포구	소계	계	82,753	93,253	24,965	24,965	33,960	41,569	23,828	26,719
2008	마포구	소계	남자	40,344	45,863	12,021	12,021	16,606	20,476	11,717	13,366
2008	마포구	소계	여자	42,409	47,390	12,944	12,944	17,354	21,093	12,111	13,353
2008	마포구	용강동	계	4,060	4,268	1,160	1,025	1,683	2,085	1,217	1,158
2008	마포구	용강동	남자	1,968	2,053	554	473	815	999	599	581
2008	마포구	용강동	여자	2,092	2,215	606	552	868	1,086	618	577
2008	마포구	대흥동	계	4,362	4,332	1,233	1,070	1,468	1,795	1,661	1,467
2008	마포구	대흥동	남자	2,220	2,147	603	508	755	904	862	735
2008	마포구	대흥동	여자	2,142	2,185	630	562	713	891	799	732
2008	마포구	염리동	계	3,780	4,098	1,502	1,096	1,214	1,802	1,064	1,200
2008	마포구	염리동	남자	1,878	2,027	737	532	617	897	524	598
2008	마포구	염리동	여자	1,902	2,071	765	564	597	905	540	602
2008	마포구	신수동	계	4,760	4,657	1,635	1,513	1,748	1,714	1,377	1,430
2008	마포구	신수동	남자	2,409	2,362	781	725	890	870	738	767
2008	마포구	신수동	여자	2,351	2,295	854	788	858	844	639	663
2008	마포구	서교동	계	7,858	8,315	2,091	2,449	2,839	3,249	2,928	2,617
2008	마포구	서교동	남자	3,759	3,997	1,001	1,164	1,344	1,547	1,414	1,286
