"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 02월 04일","2,157.90","2,121.22","2,162.32","2,120.53","616.27K","1.84%"
"2020년 02월 03일","2,118.88","2,086.61","2,126.73","2,082.74","827.34K","-0.01%"
"2020년 01월 31일","2,119.01","2,160.60","2,167.23","2,119.01","696.88K","-1.35%"
"2020년 01월 30일","2,148.00","2,181.54","2,187.45","2,139.72","594.86K","-1.71%"
"2020년 01월 29일","2,185.28","2,188.18","2,195.45","2,172.33","681.56K","0.39%"
"2020년 01월 28일","2,176.72","2,192.22","2,199.93","2,166.23","800.05K","-3.09%"
"2020년 01월 23일","2,246.13","2,254.54","2,260.63","2,241.94","502.81K","-0.93%"
"2020년 01월 22일","2,267.25","2,238.53","2,269.27","2,235.13","596.85K","1.23%"
"2020년 01월 21일","2,239.69","2,259.81","2,266.31","2,238.25","758.69K","-1.01%"
"2020년 01월 20일","2,262.64","2,261.40","2,277.23","2,258.09","534.80K","0.54%"
"2020년 01월 17일","2,250.57","2,261.57","2,268.71","2,245.58","568.67K","0.11%"
"2020년 01월 16일","2,248.05","2,231.93","2,249.09","2,225.41","796.46K","0.77%"
"2020년 01월 15일","2,230.98","2,229.80","2,238.21","2,223.39","733.89K","-0.35%"
"2020년 01월 14일","2,238.88","2,243.06","2,250.79","2,232.94","823.05K","0.43%"
"2020년 01월 13일","2,229.26","2,204.49","2,230.43","2,204.49","480.21K","1.04%"
"2020년 01월 10일","2,206.39","2,189.48","2,206.92","2,188.10","584.15K","0.91%"
"2020년 01월 09일","2,186.45","2,182.20","2,186.45","2,172.16","583.33K","1.63%"
"2020년 01월 08일","2,151.31","2,156.27","2,162.32","2,137.72","899.62K","-1.11%"
"2020년 01월 07일","2,175.54","2,166.60","2,181.62","2,164.27","559.33K","0.95%"
"2020년 01월 06일","2,155.07","2,154.97","2,164.42","2,149.95","587.47K","-0.98%"
"2020년 01월 03일","2,176.46","2,192.58","2,203.38","2,165.39","622.53K","0.06%"
"2020년 01월 02일","2,175.17","2,201.21","2,202.32","2,171.84","488.61K","-1.02%"
"2019년 12월 30일","2,197.67","2,202.62","2,208.04","2,195.65","410.03K","-0.30%"
"2019년 12월 27일","2,204.21","2,183.70","2,215.55","2,177.40","482.80K","0.29%"
"2019년 12월 26일","2,197.93","2,192.22","2,198.01","2,183.90","562.16K","0.36%"
"2019년 12월 24일","2,190.08","2,206.23","2,206.23","2,187.58","560.16K","-0.62%"
"2019년 12월 23일","2,203.71","2,208.22","2,209.20","2,196.43","494.36K","-0.02%"
"2019년 12월 20일","2,204.18","2,205.57","2,206.82","2,194.80","637.64K","0.35%"
"2019년 12월 19일","2,196.56","2,199.42","2,204.73","2,186.59","630.99K","0.08%"
"2019년 12월 18일","2,194.76","2,194.92","2,204.04","2,187.32","580.20K","-0.04%"
"2019년 12월 17일","2,195.68","2,179.40","2,196.01","2,171.09","587.00K","1.27%"
"2019년 12월 16일","2,168.15","2,168.05","2,175.01","2,166.29","370.55K","-0.10%"
"2019년 12월 13일","2,170.25","2,164.63","2,170.25","2,159.45","540.03M","1.54%"
"2019년 12월 12일","2,137.35","2,120.13","2,138.93","2,120.13","584.64M","1.51%"
"2019년 12월 11일","2,105.62","2,098.28","2,109.22","2,092.48","668.73M","0.36%"
"2019년 12월 10일","2,098.00","2,081.22","2,100.48","2,080.16","500.06M","0.45%"
"2019년 12월 09일","2,088.65","2,091.94","2,093.81","2,084.31","393.13M","0.33%"
"2019년 12월 06일","2,081.85","2,072.44","2,084.44","2,070.17","440.19M","1.02%"
"2019년 12월 05일","2,060.74","2,078.31","2,084.29","2,053.56","472.19M","-0.39%"
"2019년 12월 04일","2,068.89","2,070.84","2,072.91","2,057.45","347.00M","-0.73%"
"2019년 12월 03일","2,084.07","2,075.02","2,085.71","2,066.60","450.04M","-0.38%"
"2019년 12월 02일","2,091.92","2,097.55","2,103.87","2,088.92","385.34M","0.19%"
"2019년 11월 29일","2,087.96","2,125.53","2,125.53","2,085.10","433.26M","-1.45%"
"2019년 11월 28일","2,118.60","2,116.93","2,127.75","2,116.58","335.23M","-0.43%"
"2019년 11월 27일","2,127.85","2,134.47","2,136.30","2,118.07","367.80M","0.31%"
"2019년 11월 26일","2,121.35","2,129.27","2,139.64","2,120.85","532.60M","-0.10%"
"2019년 11월 25일","2,123.50","2,117.14","2,130.04","2,116.07","397.68M","1.02%"
"2019년 11월 22일","2,101.96","2,098.89","2,106.42","2,093.99","519.85M","0.26%"
"2019년 11월 21일","2,096.60","2,123.65","2,125.36","2,088.19","579.55M","-1.35%"
"2019년 11월 20일","2,125.32","2,140.06","2,145.97","2,123.80","581.06M","-1.30%"
"2019년 11월 19일","2,153.24","2,151.04","2,154.41","2,137.01","826.88M","-0.34%"
"2019년 11월 18일","2,160.69","2,161.89","2,165.89","2,151.97","489.23M","-0.07%"
"2019년 11월 15일","2,162.18","2,137.96","2,165.02","2,135.26","556.25M","1.07%"
"2019년 11월 14일","2,139.23","2,127.54","2,139.23","2,121.32","521.11M","0.79%"
"2019년 11월 13일","2,122.45","2,132.48","2,133.37","2,118.67","664.36M","-0.86%"
"2019년 11월 12일","2,140.92","2,131.26","2,140.94","2,121.80","610.43M","0.79%"
"2019년 11월 11일","2,124.09","2,139.07","2,139.07","2,119.07","617.27M","-0.61%"
"2019년 11월 08일","2,137.23","2,154.18","2,155.94","2,133.75","574.13M","-0.33%"
"2019년 11월 07일","2,144.29","2,141.05","2,147.01","2,135.45","425.66M","0.01%"
"2019년 11월 06일","2,144.15","2,142.69","2,156.23","2,138.83","410.08M","0.07%"
"2019년 11월 05일","2,142.64","2,133.66","2,143.12","2,128.70","400.64M","0.58%"
"2019년 11월 04일","2,130.24","2,111.32","2,130.83","2,111.32","476.26M","1.43%"
"2019년 11월 01일","2,100.20","2,084.79","2,100.42","2,081.53","418.31M","0.80%"
"2019년 10월 31일","2,083.48","2,089.22","2,103.71","2,083.48","461.32M","0.15%"
"2019년 10월 30일","2,080.27","2,093.51","2,093.51","2,075.54","415.55M","-0.59%"
"2019년 10월 29일","2,092.69","2,103.92","2,105.17","2,088.04","357.66M","-0.04%"
"2019년 10월 28일","2,093.60","2,096.67","2,104.39","2,089.76","269.23M","0.27%"
"2019년 10월 25일","2,087.89","2,091.16","2,091.24","2,079.30","348.69M","0.11%"
"2019년 10월 24일","2,085.66","2,089.85","2,089.85","2,067.90","367.72M","0.24%"
"2019년 10월 23일","2,080.62","2,086.81","2,088.25","2,074.88","429.45M","-0.39%"
"2019년 10월 22일","2,088.86","2,076.29","2,093.81","2,073.08","504.06M","1.16%"
"2019년 10월 21일","2,064.84","2,067.97","2,067.97","2,059.33","606.11M","0.20%"
"2019년 10월 18일","2,060.69","2,082.23","2,088.54","2,057.89","516.69M","-0.83%"
"2019년 10월 17일","2,077.94","2,081.76","2,087.15","2,072.49","314.18M","-0.23%"
"2019년 10월 16일","2,082.83","2,080.92","2,090.01","2,073.80","524.54M","0.71%"
"2019년 10월 15일","2,068.17","2,064.78","2,073.21","2,064.34","464.53M","0.04%"
"2019년 10월 14일","2,067.40","2,068.13","2,075.10","2,065.53","511.22M","1.11%"
"2019년 10월 11일","2,044.61","2,048.08","2,053.94","2,040.48","381.15M","0.81%"
"2019년 10월 10일","2,028.15","2,030.13","2,040.88","2,010.90","445.85M","-0.88%"
"2019년 10월 08일","2,046.25","2,029.37","2,046.81","2,024.63","437.52M","1.21%"
"2019년 10월 07일","2,021.73","2,031.53","2,034.94","2,016.19","322.18M","0.05%"
"2019년 10월 04일","2,020.69","2,028.40","2,039.43","2,020.69","402.94M","-0.55%"
"2019년 10월 02일","2,031.91","2,058.23","2,058.23","2,031.91","414.46M","-1.95%"
"2019년 10월 01일","2,072.42","2,062.44","2,077.48","2,057.91","389.34M","0.45%"
"2019년 09월 30일","2,063.05","2,045.77","2,064.99","2,042.01","327.62M","0.64%"
"2019년 09월 27일","2,049.93","2,066.96","2,066.96","2,044.75","285.94M","-1.19%"
"2019년 09월 26일","2,074.52","2,082.66","2,087.33","2,064.34","430.58M","0.05%"
"2019년 09월 25일","2,073.39","2,093.47","2,095.27","2,072.41","651.55M","-1.32%"
"2019년 09월 24일","2,101.04","2,090.19","2,101.63","2,085.91","535.77M","0.45%"
"2019년 09월 23일","2,091.70","2,087.70","2,095.54","2,085.60","420.95M","0.01%"
"2019년 09월 20일","2,091.52","2,080.86","2,092.37","2,077.30","589.92M","0.54%"
"2019년 09월 19일","2,080.35","2,070.53","2,089.81","2,070.53","493.04M","0.46%"
"2019년 09월 18일","2,070.73","2,064.42","2,075.63","2,058.52","613.15M","0.41%"
"2019년 09월 17일","2,062.33","2,058.72","2,066.33","2,055.17","508.00M","0.01%"
"2019년 09월 16일","2,062.22","2,056.26","2,062.22","2,044.80","493.52M","0.64%"
"2019년 09월 11일","2,049.20","2,043.72","2,050.80","2,040.04","429.08M","0.84%"
"2019년 09월 10일","2,032.08","2,024.79","2,034.28","2,021.58","504.39M","0.62%"
"2019년 09월 09일","2,019.55","2,013.38","2,029.80","2,013.28","511.82M","0.52%"
"2019년 09월 06일","2,009.13","2,016.11","2,017.20","2,005.69","384.44M","0.22%"
"2019년 09월 05일","2,004.75","1,993.62","2,015.39","1,992.51","488.07M","0.82%"
"2019년 09월 04일","1,988.53","1,962.43","1,988.53","1,962.08","348.72M","1.16%"
"2019년 09월 03일","1,965.69","1,966.50","1,976.37","1,960.15","342.08M","-0.18%"
"2019년 09월 02일","1,969.19","1,961.19","1,973.25","1,958.59","262.15M","0.07%"
"2019년 08월 30일","1,967.79","1,951.66","1,971.21","1,951.30","317.73M","1.78%"
"2019년 08월 29일","1,933.41","1,943.55","1,947.15","1,928.49","285.10M","-0.40%"
"2019년 08월 28일","1,941.09","1,929.96","1,943.62","1,926.43","284.34M","0.86%"
"2019년 08월 27일","1,924.60","1,928.98","1,937.42","1,919.28","427.04M","0.43%"
"2019년 08월 26일","1,916.31","1,915.34","1,924.49","1,909.92","324.85M","-1.64%"
"2019년 08월 23일","1,948.30","1,942.42","1,953.85","1,940.60","381.09M","-0.14%"
"2019년 08월 22일","1,951.01","1,966.60","1,967.96","1,951.01","435.56M","-0.69%"
"2019년 08월 21일","1,964.65","1,954.57","1,971.12","1,954.47","391.57M","0.22%"
"2019년 08월 20일","1,960.25","1,942.99","1,964.16","1,937.53","463.60M","1.05%"
"2019년 08월 19일","1,939.90","1,936.64","1,943.09","1,931.44","481.02M","0.66%"
"2019년 08월 16일","1,927.17","1,921.49","1,927.70","1,911.72","421.68M","-0.58%"
"2019년 08월 14일","1,938.37","1,946.18","1,952.22","1,937.23","699.59M","0.65%"
"2019년 08월 13일","1,925.83","1,928.76","1,937.68","1,923.58","660.04M","-0.85%"
"2019년 08월 12일","1,942.29","1,941.53","1,949.19","1,933.25","427.14M","0.23%"
"2019년 08월 09일","1,937.75","1,940.06","1,946.94","1,936.14","654.34M","0.89%"
"2019년 08월 08일","1,920.61","1,926.28","1,937.95","1,915.81","777.16M","0.57%"
"2019년 08월 07일","1,909.71","1,925.33","1,929.29","1,901.61","760.78M","-0.41%"
"2019년 08월 06일","1,917.50","1,900.36","1,948.53","1,891.81","739.59M","-1.51%"
"2019년 08월 05일","1,946.98","1,985.93","1,987.64","1,945.39","639.60M","-2.56%"
"2019년 08월 02일","1,998.13","1,995.31","2,005.31","1,987.12","438.54M","-0.95%"
"2019년 08월 01일","2,017.34","2,015.09","2,032.23","2,009.33","461.74M","-0.36%"
"2019년 07월 31일","2,024.55","2,036.46","2,041.16","2,010.95","589.39M","-0.69%"
"2019년 07월 30일","2,038.68","2,035.32","2,044.59","2,032.61","547.03M","0.45%"
"2019년 07월 29일","2,029.48","2,059.13","2,063.13","2,025.01","608.67M","-1.78%"
"2019년 07월 26일","2,066.26","2,063.35","2,068.16","2,054.64","589.07M","-0.40%"
"2019년 07월 25일","2,074.48","2,085.67","2,088.81","2,061.08","598.63M","-0.38%"
"2019년 07월 24일","2,082.30","2,097.16","2,105.68","2,080.66","851.39M","-0.91%"
"2019년 07월 23일","2,101.45","2,095.76","2,106.39","2,095.38","648.12M","0.39%"
"2019년 07월 22일","2,093.34","2,090.35","2,099.34","2,087.51","332.63M","-0.05%"
"2019년 07월 19일","2,094.36","2,080.21","2,096.73","2,076.51","394.90M","1.35%"
"2019년 07월 18일","2,066.55","2,068.66","2,073.20","2,061.33","446.64M","-0.31%"
"2019년 07월 17일","2,072.92","2,079.91","2,080.01","2,063.49","761.63M","-0.91%"
"2019년 07월 16일","2,091.87","2,084.46","2,096.67","2,078.74","682.80M","0.45%"
"2019년 07월 15일","2,082.48","2,083.39","2,088.34","2,073.10","463.52M","-0.20%"
"2019년 07월 12일","2,086.66","2,083.53","2,090.43","2,077.35","403.94M","0.29%"
"2019년 07월 11일","2,080.58","2,070.59","2,088.24","2,070.21","376.68M","1.06%"
"2019년 07월 10일","2,058.78","2,061.55","2,068.20","2,056.48","355.68M","0.33%"
"2019년 07월 09일","2,052.03","2,070.35","2,075.30","2,052.03","440.12M","-0.59%"
"2019년 07월 08일","2,064.17","2,091.91","2,092.54","2,063.78","515.95M","-2.20%"
"2019년 07월 05일","2,110.59","2,111.00","2,115.43","2,096.23","459.39M","0.09%"
"2019년 07월 04일","2,108.73","2,102.36","2,108.80","2,088.97","446.93M","0.61%"
"2019년 07월 03일","2,096.02","2,120.75","2,127.71","2,093.32","522.71M","-1.23%"
"2019년 07월 02일","2,122.02","2,122.07","2,130.86","2,112.52","460.83M","-0.36%"
"2019년 07월 01일","2,129.74","2,147.24","2,147.24","2,126.87","412.29M","-0.04%"
"2019년 06월 28일","2,130.62","2,135.06","2,139.24","2,123.97","537.27M","-0.17%"
"2019년 06월 27일","2,134.32","2,120.73","2,141.27","2,118.22","644.90M","0.59%"
"2019년 06월 26일","2,121.85","2,120.20","2,128.25","2,115.72","736.85M","0.01%"
"2019년 06월 25일","2,121.64","2,125.74","2,136.24","2,115.11","643.00M","-0.22%"
"2019년 06월 24일","2,126.33","2,130.32","2,134.48","2,123.88","669.64M","0.03%"
"2019년 06월 21일","2,125.62","2,132.38","2,132.68","2,120.15","692.03M","-0.27%"
"2019년 06월 20일","2,131.29","2,121.78","2,131.77","2,120.42","1.01B","0.31%"
"2019년 06월 19일","2,124.78","2,119.54","2,126.74","2,117.64","862.98M","1.24%"
"2019년 06월 18일","2,098.71","2,089.31","2,103.02","2,089.31","600.96M","0.38%"
"2019년 06월 17일","2,090.73","2,091.71","2,103.59","2,087.25","561.55M","-0.22%"
"2019년 06월 14일","2,095.41","2,096.32","2,103.02","2,087.47","473.37M","-0.37%"
"2019년 06월 13일","2,103.15","2,104.46","2,108.01","2,081.92","553.39M","-0.27%"
"2019년 06월 12일","2,108.75","2,111.66","2,118.89","2,104.41","693.51M","-0.14%"
"2019년 06월 11일","2,111.81","2,096.09","2,114.57","2,094.60","550.74M","0.59%"
"2019년 06월 10일","2,099.49","2,087.37","2,099.65","2,075.51","457.64M","1.31%"
"2019년 06월 07일","2,072.33","2,070.78","2,081.16","2,057.97","368.39M","0.16%"
"2019년 06월 05일","2,069.11","2,084.16","2,086.49","2,065.71","380.16M","0.10%"
"2019년 06월 04일","2,066.97","2,066.78","2,072.19","2,060.98","435.99M","-0.04%"
"2019년 06월 03일","2,067.85","2,031.03","2,070.58","2,029.17","387.14M","1.28%"
"2019년 05월 31일","2,041.74","2,029.03","2,048.90","2,022.97","439.18M","0.14%"
"2019년 05월 30일","2,038.80","2,024.33","2,040.66","2,023.91","461.85M","0.77%"
"2019년 05월 29일","2,023.32","2,046.71","2,046.71","2,016.25","380.89M","-1.25%"
"2019년 05월 28일","2,048.83","2,044.77","2,058.42","2,038.52","494.48M","0.23%"
"2019년 05월 27일","2,044.21","2,044.25","2,055.13","2,035.87","351.62M","-0.05%"
"2019년 05월 24일","2,045.31","2,047.30","2,057.38","2,035.98","480.65M","-0.69%"
"2019년 05월 23일","2,059.59","2,063.25","2,065.86","2,046.82","509.27M","-0.26%"
"2019년 05월 22일","2,064.86","2,068.65","2,070.80","2,048.01","509.97M","0.18%"
"2019년 05월 21일","2,061.25","2,056.95","2,076.47","2,053.69","526.86M","0.27%"
"2019년 05월 20일","2,055.71","2,066.53","2,077.10","2,051.69","640.20M","-0.00%"
"2019년 05월 17일","2,055.80","2,081.57","2,082.83","2,053.79","537.38M","-0.58%"
"2019년 05월 16일","2,067.69","2,094.88","2,095.58","2,062.44","745.16M","-1.20%"
"2019년 05월 15일","2,092.78","2,081.92","2,100.01","2,076.46","577.79M","0.53%"
"2019년 05월 14일","2,081.84","2,060.24","2,093.41","2,056.74","696.20M","0.14%"
"2019년 05월 13일","2,079.01","2,091.80","2,101.09","2,077.72","505.75M","-1.38%"
"2019년 05월 10일","2,108.04","2,118.42","2,124.92","2,090.39","714.77M","0.29%"
"2019년 05월 09일","2,102.01","2,159.79","2,164.98","2,102.01","743.51M","-3.04%"
"2019년 05월 08일","2,168.01","2,151.34","2,179.34","2,151.34","456.33M","-0.41%"
"2019년 05월 07일","2,176.99","2,172.39","2,179.51","2,160.44","484.10M","-0.88%"
"2019년 05월 03일","2,196.32","2,209.44","2,211.36","2,192.36","617.88M","-0.74%"
"2019년 05월 02일","2,212.75","2,192.94","2,217.03","2,191.30","369.06M","0.42%"
"2019년 04월 30일","2,203.59","2,213.43","2,215.77","2,186.33","381.41M","-0.58%"
"2019년 04월 29일","2,216.43","2,183.41","2,216.43","2,181.82","380.82M","1.70%"
"2019년 04월 26일","2,179.31","2,178.13","2,186.52","2,168.15","570.17M","-0.51%"
"2019년 04월 25일","2,190.50","2,195.47","2,200.89","2,187.44","441.14M","-0.48%"
"2019년 04월 24일","2,201.03","2,229.75","2,229.75","2,190.29","575.10M","-0.88%"
"2019년 04월 23일","2,220.51","2,217.61","2,223.92","2,212.14","481.18M","0.17%"
"2019년 04월 22일","2,216.65","2,218.50","2,227.94","2,207.25","493.98M","0.02%"
"2019년 04월 19일","2,216.15","2,223.42","2,225.37","2,215.58","525.26M","0.11%"
"2019년 04월 18일","2,213.77","2,248.80","2,250.11","2,210.43","573.34M","-1.43%"
"2019년 04월 17일","2,245.89","2,249.05","2,252.05","2,242.01","452.47M","-0.12%"
"2019년 04월 16일","2,248.63","2,241.06","2,249.89","2,235.72","569.06M","0.26%"
"2019년 04월 15일","2,242.88","2,242.31","2,251.22","2,240.29","404.16M","0.42%"
"2019년 04월 12일","2,233.45","2,221.10","2,233.45","2,212.88","449.63M","0.41%"
"2019년 04월 11일","2,224.44","2,227.69","2,230.41","2,217.18","402.02M","0.00%"
"2019년 04월 10일","2,224.39","2,206.20","2,225.02","2,203.82","399.69M","0.49%"
"2019년 04월 09일","2,213.56","2,212.32","2,221.62","2,203.54","414.81M","0.13%"
"2019년 04월 08일","2,210.60","2,217.66","2,217.87","2,202.49","347.91M","0.04%"
"2019년 04월 05일","2,209.61","2,206.36","2,214.82","2,205.26","517.15M","0.14%"
"2019년 04월 04일","2,206.53","2,201.04","2,216.15","2,198.66","431.01M","0.15%"
"2019년 04월 03일","2,203.27","2,176.81","2,203.29","2,172.83","358.64M","1.20%"
"2019년 04월 02일","2,177.18","2,177.20","2,181.37","2,171.84","257.45M","0.41%"
"2019년 04월 01일","2,168.28","2,153.31","2,171.49","2,153.31","263.31M","1.29%"
"2019년 03월 29일","2,140.67","2,138.45","2,143.30","2,124.07","364.62M","0.59%"
"2019년 03월 28일","2,128.10","2,131.25","2,136.40","2,120.93","288.04M","-0.82%"
"2019년 03월 27일","2,145.62","2,147.19","2,152.91","2,132.42","363.17M","-0.15%"
"2019년 03월 26일","2,148.80","2,152.98","2,153.90","2,143.63","301.25M","0.18%"
"2019년 03월 25일","2,144.86","2,158.80","2,159.25","2,143.70","307.07M","-1.92%"
"2019년 03월 22일","2,186.95","2,192.72","2,195.42","2,178.77","333.62M","0.09%"
"2019년 03월 21일","2,184.88","2,183.11","2,200.32","2,173.70","342.75M","0.36%"
"2019년 03월 20일","2,177.10","2,171.41","2,177.19","2,152.21","317.61M","-0.02%"
"2019년 03월 19일","2,177.62","2,183.03","2,183.76","2,171.05","319.70M","-0.09%"
"2019년 03월 18일","2,179.49","2,179.69","2,183.90","2,172.34","257.95M","0.16%"
"2019년 03월 15일","2,176.11","2,152.96","2,181.77","2,152.59","387.14M","0.95%"
"2019년 03월 14일","2,155.68","2,154.35","2,158.34","2,142.31","341.01M","0.34%"
"2019년 03월 13일","2,148.41","2,152.66","2,154.11","2,134.16","285.60M","-0.41%"
"2019년 03월 12일","2,157.18","2,154.61","2,161.69","2,150.96","355.28M","0.89%"
"2019년 03월 11일","2,138.10","2,140.29","2,145.31","2,125.54","272.10M","0.03%"
"2019년 03월 08일","2,137.44","2,152.80","2,159.67","2,137.44","313.31M","-1.31%"
"2019년 03월 07일","2,165.79","2,173.19","2,181.19","2,155.19","292.58M","-0.45%"
"2019년 03월 06일","2,175.60","2,177.11","2,179.01","2,168.46","328.94M","-0.17%"
"2019년 03월 05일","2,179.23","2,183.35","2,185.74","2,171.33","313.14M","-0.52%"
"2019년 03월 04일","2,190.66","2,210.97","2,216.02","2,188.56","373.17M","-0.22%"
"2019년 02월 28일","2,195.44","2,231.58","2,233.93","2,195.44","510.02M","-1.76%"
"2019년 02월 27일","2,234.79","2,234.46","2,237.77","2,228.16","301.51M","0.37%"
"2019년 02월 26일","2,226.60","2,230.37","2,235.70","2,221.76","331.96M","-0.27%"
"2019년 02월 25일","2,232.56","2,241.13","2,241.76","2,224.64","339.23M","0.09%"
"2019년 02월 22일","2,230.50","2,222.32","2,230.50","2,217.08","409.31M","0.08%"
"2019년 02월 21일","2,228.66","2,224.26","2,234.31","2,213.19","382.51M","-0.05%"
"2019년 02월 20일","2,229.76","2,216.74","2,234.68","2,213.83","374.34M","1.09%"
"2019년 02월 19일","2,205.63","2,208.96","2,213.87","2,193.34","389.09M","-0.24%"
"2019년 02월 18일","2,210.89","2,207.36","2,217.32","2,203.00","314.37M","0.67%"
"2019년 02월 15일","2,196.09","2,210.94","2,210.94","2,187.71","400.59M","-1.34%"
"2019년 02월 14일","2,225.85","2,195.92","2,225.85","2,186.09","573.36M","1.11%"
"2019년 02월 13일","2,201.48","2,200.00","2,203.71","2,194.75","421.99M","0.50%"
"2019년 02월 12일","2,190.47","2,182.71","2,195.05","2,178.59","429.94M","0.45%"
"2019년 02월 11일","2,180.73","2,180.54","2,181.58","2,167.36","406.06M","0.17%"
"2019년 02월 08일","2,177.05","2,192.01","2,192.48","2,171.96","391.03M","-1.20%"
"2019년 02월 07일","2,203.42","2,215.77","2,215.79","2,196.77","427.84M","-0.00%"
"2019년 02월 01일","2,203.46","2,211.93","2,218.78","2,201.41","479.38M","-0.06%"
"2019년 01월 31일","2,204.85","2,222.88","2,222.88","2,201.22","545.25M","-0.06%"
"2019년 01월 30일","2,206.20","2,183.49","2,206.20","2,177.88","480.39M","1.05%"
"2019년 01월 29일","2,183.36","2,172.83","2,183.36","2,162.53","552.59M","0.28%"
"2019년 01월 28일","2,177.30","2,184.41","2,188.15","2,169.17","371.62M","-0.02%"
"2019년 01월 25일","2,177.73","2,147.92","2,178.01","2,146.64","410.00M","1.52%"
"2019년 01월 24일","2,145.03","2,127.88","2,145.08","2,125.48","413.65M","0.81%"
"2019년 01월 23일","2,127.78","2,108.72","2,131.05","2,106.74","408.60M","0.47%"
"2019년 01월 22일","2,117.77","2,126.03","2,129.37","2,108.91","419.44M","-0.32%"
"2019년 01월 21일","2,124.61","2,133.87","2,134.17","2,114.45","398.03M","0.02%"
"2019년 01월 18일","2,124.28","2,116.43","2,124.50","2,113.44","456.74M","0.82%"
"2019년 01월 17일","2,107.06","2,110.14","2,117.43","2,101.70","475.88M","0.05%"
"2019년 01월 16일","2,106.10","2,098.65","2,106.35","2,091.92","500.08M","0.43%"
"2019년 01월 15일","2,097.18","2,069.14","2,098.01","2,067.58","439.49M","1.58%"
"2019년 01월 14일","2,064.52","2,070.49","2,073.94","2,059.46","432.89M","-0.53%"
"2019년 01월 11일","2,075.57","2,070.36","2,076.99","2,063.99","380.06M","0.60%"
"2019년 01월 10일","2,063.28","2,065.73","2,072.81","2,057.16","382.88M","-0.07%"
"2019년 01월 09일","2,064.71","2,034.19","2,068.23","2,034.19","386.25M","1.95%"
"2019년 01월 08일","2,025.27","2,038.68","2,042.70","2,023.59","397.83M","-0.58%"
"2019년 01월 07일","2,037.10","2,034.24","2,048.06","2,030.90","440.19M","1.34%"
"2019년 01월 04일","2,010.25","1,992.40","2,011.56","1,984.53","408.99M","0.83%"
"2019년 01월 03일","1,993.70","2,011.81","2,014.72","1,991.65","427.98M","-0.81%"
"2019년 01월 02일","2,010.00","2,050.55","2,053.45","2,004.27","326.37M","-1.52%"
"2018년 12월 28일","2,041.04","2,036.70","2,046.97","2,035.41","352.68M","0.62%"
"2018년 12월 27일","2,028.44","2,032.09","2,035.57","2,021.39","398.02M","0.02%"
"2018년 12월 26일","2,028.01","2,028.81","2,037.83","2,014.28","321.50M","-1.31%"
"2018년 12월 24일","2,055.01","2,050.38","2,059.94","2,046.18","285.28M","-0.31%"
"2018년 12월 21일","2,061.49","2,052.70","2,061.51","2,049.76","311.39M","0.07%"
"2018년 12월 20일","2,060.12","2,063.70","2,071.08","2,047.52","421.06M","-0.90%"
"2018년 12월 19일","2,078.84","2,068.95","2,080.65","2,063.01","418.80M","0.81%"
"2018년 12월 18일","2,062.11","2,057.39","2,074.31","2,054.26","429.53M","-0.43%"
"2018년 12월 17일","2,071.09","2,071.21","2,075.93","2,065.51","444.52M","0.08%"
"2018년 12월 14일","2,069.38","2,095.64","2,095.64","2,061.40","448.24M","-1.25%"
"2018년 12월 13일","2,095.55","2,087.43","2,104.43","2,084.37","379.82M","0.62%"
"2018년 12월 12일","2,082.57","2,062.77","2,084.77","2,061.13","457.13M","1.44%"
"2018년 12월 11일","2,052.97","2,058.16","2,060.94","2,047.17","273.93M","-0.04%"
"2018년 12월 10일","2,053.79","2,048.45","2,061.78","2,043.21","344.16M","-1.06%"
"2018년 12월 07일","2,075.76","2,081.68","2,086.84","2,065.62","371.59M","0.34%"
"2018년 12월 06일","2,068.69","2,094.62","2,094.62","2,064.00","537.41M","-1.55%"
"2018년 12월 05일","2,101.31","2,086.57","2,107.69","2,086.57","492.72M","-0.62%"
"2018년 12월 04일","2,114.35","2,125.67","2,128.94","2,105.45","507.52M","-0.82%"
"2018년 12월 03일","2,131.93","2,127.78","2,136.64","2,113.60","436.59M","1.67%"
"2018년 11월 30일","2,096.86","2,116.83","2,122.33","2,093.83","427.35M","-0.82%"
"2018년 11월 29일","2,114.10","2,133.95","2,136.74","2,108.90","307.23M","0.28%"
"2018년 11월 28일","2,108.22","2,104.13","2,108.65","2,094.32","300.08M","0.42%"
"2018년 11월 27일","2,099.42","2,091.75","2,102.29","2,079.49","239.21M","0.79%"
"2018년 11월 26일","2,083.02","2,060.17","2,083.96","2,060.17","237.71M","1.24%"
"2018년 11월 23일","2,057.48","2,073.26","2,075.91","2,047.96","227.20M","-0.60%"
"2018년 11월 22일","2,069.95","2,079.01","2,081.75","2,066.20","242.50M","-0.32%"
"2018년 11월 21일","2,076.55","2,057.07","2,077.49","2,049.76","267.90M","-0.29%"
"2018년 11월 20일","2,082.58","2,074.67","2,089.54","2,074.67","281.68M","-0.86%"
"2018년 11월 19일","2,100.56","2,096.13","2,111.39","2,089.37","273.20M","0.39%"
"2018년 11월 16일","2,092.40","2,097.94","2,103.11","2,086.54","301.60M","0.21%"
"2018년 11월 15일","2,088.06","2,061.47","2,088.61","2,058.73","351.04M","0.97%"
"2018년 11월 14일","2,068.05","2,071.41","2,075.12","2,060.86","339.05M","-0.15%"
