번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,급수시설구분명,남성종사자수,년도,다중이용업소여부,등급구분명,시설총규모,여성종사자수,영업장주변구분명,위생업종명,위생업태명,총종업원수,전화번호,위치정보(X),위치정보(Y),상세영업상태명
166,둥구나무,서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",20180706,운영중,,,,,10.30,135730,,,2018,N,,10.3,,,휴게음식점,백화점,,02  525 0980,205284.14694200000  ,445461.97226000000  ,영업
167,자쿠자쿠,서울특별시 강남구 압구정동 494번지 갤러리아백화점 ,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",20180706,운영중,,,,,8.25,135902,,,2018,N,,8.25,,,휴게음식점,백화점,,,203540.83196500000  ,447666.62184300000  ,영업
168,브리너-샐러드스푼(Salad Spoon by Brinner),서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",20180806,운영중,,,,,10.00,135730,,,2018,N,,10,,,휴게음식점,백화점,,,205284.14694200000  ,445461.97226000000  ,영업
169,시나본 목동점,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",20180709,운영중,,,,,11.57,158050,상수도전용,,2018,N,,11.57,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
170,리틀차이나(자장면),서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20001004,운영중,,,,,31.40,137713,,0,2000,N,기타,31.4,0,기타,휴게음식점,백화점,0,0234791651,200390.17138000000  ,445018.63002100000  ,영업
171,오후엔 분식,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20001004,운영중,,,,,19.35,137713,,0,2000,N,기타,19.35,0,기타,휴게음식점,백화점,0,0234791658,200390.17138000000  ,445018.63002100000  ,영업
172,(주)휴먼프라이스,서울특별시 서초구 반포동 19-3번지 센트럴시티 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",20050418,운영중,,,,,3.33,137713,상수도전용,0,2005,N,,3.33,0,,휴게음식점,백화점,0,0234791234,200390.17138000000  ,445018.63002100000  ,영업
173,신세계 소담순두부,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20061130,운영중,,,,,23.76,137713,상수도전용,0,2006,N,,23.76,0,,휴게음식점,백화점,0,0234791654,200390.17138000000  ,445018.63002100000  ,영업
174,얌차,서울특별시 서초구 잠원동 70-2번지 뉴코아아울렛강남점 신관 지하1층 ,"서울특별시 서초구 잠원로 51 (잠원동, 뉴코아아울렛강남점 신관 지하1층)",20090324,운영중,,,,,7.26,137908,,,2009,N,,7.26,,,휴게음식점,백화점,,031 593 9393,200657.70407200000  ,445529.60189500000  ,영업
175,팥꽃나무집,서울특별시 서초구 반포동 19-3번지 신세계 강남점 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계 강남점 )",20090715,운영중,,,,,35.00,137713,,,2009,N,,35,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
176,이경,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20090811,운영중,,,,,35.06,137713,,,2009,N,,35.06,,,휴게음식점,백화점,,031 897 8151,200390.17138000000  ,445018.63002100000  ,영업
177,천안학화호도과자,서울특별시 서초구 반포동 19-3번지 신세계백화점 강남점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 강남점 지하1층)",20090826,운영중,,,,,16.50,137713,,,2009,N,,16.5,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
178,(주)메종기욤,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20090831,운영중,,,,,6.60,137713,,,2009,N,,6.6,,,휴게음식점,백화점,,02  15881234,200390.17138000000  ,445018.63002100000  ,영업
179,위키그룹,서울특별시 서초구 반포동 19-3번지 신세계백화점강남점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점강남점 지하1층)",20100205,운영중,,,,,6.60,137713,,,2010,N,,6.6,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
180,(주)오뎅도락,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20100317,운영중,,,,,6.60,137713,,,2010,N,,6.6,,,휴게음식점,백화점,,02  522 9618,200390.17138000000  ,445018.63002100000  ,영업
181,(주)아모레퍼시픽 오설록,서울특별시 서초구 반포동 19-3번지 신세계강남점 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점 )",20100421,운영중,,,,,20.00,137713,,,2010,N,,20,,,휴게음식점,백화점,,031 455 3661,200390.17138000000  ,445018.63002100000  ,영업
182,(주)도르체비타,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20100519,운영중,,,,,3.30,137713,,,2010,N,,3.3,,,휴게음식점,백화점,,02  558 9322,200390.17138000000  ,445018.63002100000  ,영업
183,프레즈베이글(Fred's Bagel),서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 지하1층)",20100709,운영중,,,,,9.90,137713,,,2010,N,,9.9,,,휴게음식점,백화점,,031 777 5077,200390.17138000000  ,445018.63002100000  ,영업
184,하나김밥,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 )",20110308,운영중,,,,,25.67,137713,,,2011,N,,25.67,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
185,주식회사 한국유기농유통,서울특별시 서초구 반포동 19-3번지 신세계백화점 강남점 지하1층 식품부 ,"서울특별시 서초구 신반포로 176 (반포동,신세계백화점 강남점 지하1층 식품부)",20110602,운영중,,,,,4.95,137713,,,2011,N,,4.95,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
186,키타구니,서울특별시 서초구 반포동 19-3번지 신세계백화점 강남점 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점 강남점)",20110801,운영중,,,,,69.10,137713,,,2011,N,,69.1,,,휴게음식점,백화점,,02  34791666,200390.17138000000  ,445018.63002100000  ,영업
187,리 델리치에,서울특별시 서초구 반포동 19-3번지 신세계백화점식품관 B1 ,"서울특별시 서초구 신반포로 176, B1층 (반포동, 신세계백화점식품관)",20120813,운영중,,,,,36.95,137713,,,2012,N,,36.95,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
188,(주)나무,서울특별시 서초구 반포동 19-3번지 지하1 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동)",20121025,운영중,,,,,20.00,137713,,,2012,N,,20,,,휴게음식점,백화점,,02  4728581,200390.17138000000  ,445018.63002100000  ,영업
189,제인스 피키피자,서울특별시 서초구 반포동 19-3번지 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동)",20121213,운영중,,,,,1.21,137713,,,2012,N,,1.21,,,휴게음식점,백화점,,15881234,200390.17138000000  ,445018.63002100000  ,영업
190,티즈데이,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,"서울특별시 서초구 신반포로 176, 지하1층 (반포동, 신세계백화점)",20130916,운영중,,,,,4.59,137713,,,2013,N,,4.59,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
191,육해공,"서울특별시 서초구 반포동 19-3번지 ,12호 신세계백화점 강남점 지하 1층 ","서울특별시 서초구 신반포로 176, 지하 1층 (반포동, 신세계백화점 강남점)",20140325,운영중,,,,,6.61,137040,,,2014,N,,6.61,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
192,O'slo(오슬로),서울특별시 서초구 반포동 19-3번지 식품층 델리코너 지하 1층 ,"서울특별시 서초구 신반포로 176, 지하 1층 (반포동, 식품층 델리코너)",20150120,운영중,,,,,14.50,137713,,,2015,N,,14.5,,,휴게음식점,백화점,,34791564,200390.17138000000  ,445018.63002100000  ,영업
193,즉석어묵,서울특별시 동대문구 청량리동 774-0번지 현대코아지하1층21호 (청량시장3길 3) ,"서울특별시 동대문구 왕산로37길 27 (청량리동,현대코아지하1층21호 (청량시장3길 3))",19981010,운영중,,,,,5.51,130870,상수도전용,0,1998,N,기타,5.51,0,기타,휴게음식점,백화점,0,02   0,203866.65755900000  ,453507.08785400000  ,영업
194,쥬모쥬스샵 신내점,서울특별시 중랑구 신내동 645번지 지상1층 ,"서울특별시 중랑구 신내로 201, 1층 (신내동)",20140904,운영중,,,,,8.00,131872,,,2014,N,,8,,,휴게음식점,백화점,,,208276.02344600000  ,457362.08771600000  ,영업
195,가산롯데팩토리아울렛 장상궁김밥,서울특별시 금천구 가산동 60-19번지 SJ테크노빌 지상3층 ,"서울특별시 금천구 벚꽃로 278, 지상3층 (가산동, SJ테크노빌)",20160118,운영중,,,,,94.09,153769,,,2016,N,,99.5,,,휴게음식점,백화점,,,189796.02526000000  ,442234.36906100000  ,영업
196,자니로켓 카페강남점,서울특별시 서초구 반포동 19-3번지 지하2층신세계백화점강남점 ,"서울특별시 서초구 신반포로 176, 지하2층 (반포동, 신세계백화점강남점)",20160107,운영중,,,,,35.64,137713,,,,,,,,,,,,02  34791197,200390.17138000000  ,445018.63002100000  ,영업
197,키세키,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점)",20160504,운영중,,,,,2.00,135900,,,2016,N,,2,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
198,아리수식품,서울특별시 서대문구 창천동 30-33번지 지하1층 현대백화점신촌점 ,"서울특별시 서대문구 신촌로 83, 지하1층 (창천동, 현대백화점신촌점)",20160504,운영중,,,,,6.00,120706,,,2016,N,,6,,,휴게음식점,백화점,,,194331.32127800000  ,450730.57764800000  ,영업
199,빈디,서울특별시 관악구 봉천동 729-22번지 ,"서울특별시 관악구 봉천로 209, 동 지하2층 (봉천동)",20160715,운영중,,,,,6.60,151830,상수도전용,,2016,N,,6.6,,,휴게음식점,백화점,,,193365.65420400000  ,443451.88640100000  ,영업
200,아모리노,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점본점)",20160808,운영중,,,,,10.00,135900,,,2016,N,,10,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
201,홉슈크림,서울특별시 양천구 목동 916번지 현대백화점목동점 지하2층 식품관 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점목동점 식품관)",20160804,운영중,,,,,9.00,158050,상수도전용,,2016,N,,9,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
202,그라놀로지,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점 식품관)",20160826,운영중,,,,,6.00,135900,,,2016,N,,6,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
203,이새플러스 카페,서울특별시 서초구 반포동 19-3번지 5층 ,"서울특별시 서초구 신반포로 176, 5층 (반포동, 신세계 강남점)",20160727,운영중,,,,,49.91,137713,,,2016,N,,49.91,,,휴게음식점,백화점,,763 6818,200390.17138000000  ,445018.63002100000  ,영업
204,슈엣,서울특별시 강남구 삼성동 159-7번지 ,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점 무역점)",20160728,운영중,,,,,8.00,135090,,,2016,N,,8,,,휴게음식점,백화점,,,205284.14694200000  ,445461.97226000000  ,영업
205,쿠로후네,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점본점)",20161104,운영중,,,,,18.00,135900,,,2016,N,,18,,,휴게음식점,백화점,,02 5126435,202425.36340700000  ,447541.58378500000  ,영업
206,비트윈브레드,서울특별시 강남구 삼성동 159-7번지 ,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점)",20161027,운영중,,,,,6.61,135090,,,2016,N,,6.61,,,휴게음식점,백화점,,,205284.14694200000  ,445461.97226000000  ,영업
207,롯데푸드(주)파스퇴르밀크바시네마 김포점,서울특별시 강서구 방화동 886번지 롯데몰(지상 1층) ,"서울특별시 강서구 하늘길 38, 롯데몰 1층 (방화동)",20180411,운영중,,,,,23.50,157220,,,2018,N,,23.5,,,휴게음식점,백화점,,0261164563,182575.81680300000  ,451844.59929800000  ,영업
208,우오가시,서울특별시 서초구 반포동 19-3번지 지하1층식품부 ,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 (반포동)",20180612,운영중,,,,,18.00,137713,,,2018,N,,18,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
209,마녀족발,서울특별시 영등포구 영등포동4가 434-5번지 신세계백화점 지하1층 ,"서울특별시 영등포구 영중로 9, 신세계백화점 지하1층 (영등포동4가)",20180628,운영중,,,,,6.40,150985,,,2018,N,,6.4,,기타,휴게음식점,백화점,,,191651.66159400000  ,446416.17392600000  ,영업
210,교토 우메신 카라아게,서울특별시 서초구 반포동 19-3번지 센트럴시티빌딩 ,"서울특별시 서초구 신반포로 176, 신세계백화점 센트럴시티 강남점 지하1층 (반포동)",20180810,운영중,,,,,3.30,137960,,,2018,N,,3.3,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
211,동네호떡,서울특별시 서초구 반포동 19-3번지 지하1층 ,"서울특별시 서초구 신반포로 176, 신세계백화점강남점 지하1층 (반포동)",20180516,운영중,,,,,6.00,137713,,,2018,N,,6,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
212,샐러드스탑 압구정현대점,서울특별시 강남구 압구정동 429번지 현대백화점본점 ,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",20180801,운영중,,,,,5.29,135724,,,2018,N,,5.29,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
213,백미당 현대압구정점,서울특별시 강남구 압구정동 429번지 현대백화점본점 ,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",20180801,운영중,,,,,6.60,135724,,,2018,N,,6.6,,,휴게음식점,백화점,,02  21956806,202425.36340700000  ,447541.58378500000  ,영업
214,추박사라면핫도그,서울특별시 서초구 반포동 19-3번지 지하1층 ,"서울특별시 서초구 신반포로 176, 신세계백화점강남점 지하1층 (반포동)",20180514,운영중,,,,,6.00,137713,,,2018,N,,6,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
215,햇살손만두,서울특별시 서초구 반포동 19-3번지 지하1층 ,"서울특별시 서초구 신반포로 176, 신세계백화점강남점 지하1층 (반포동)",20180514,운영중,,,,,6.00,137713,,,2018,N,,6,,,휴게음식점,백화점,,,200390.17138000000  ,445018.63002100000  ,영업
216,원기정,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257, 현대백화점 지하2층 (목동, 현대하이페리온)",20180730,운영중,,,,,5.50,158050,상수도전용,,2018,N,,5.5,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
217,주식회사 현대그린푸드,서울특별시 강남구 압구정동 429번지 현대백화점본점 ,"서울특별시 강남구 압구정로 165, 현대백화점본점 지하1층 (압구정동)",20180618,운영중,,,,,30.00,135724,,,2018,N,,30,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
218,버클리쿠키,서울특별시 강남구 압구정동 429번지 현대백화점본점 ,"서울특별시 강남구 압구정로 165, 현대백화점본점 (압구정동)",20180528,운영중,,,,,3.30,135724,,,2018,N,,3.3,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
219,돌쇠떡집,서울특별시 양천구 목동 916번지 현대하이페리온 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",20180801,운영중,,,,,9.00,158724,상수도전용,,2018,N,,9,,,휴게음식점,백화점,,053 643 7887,189005.13921600000  ,447530.11434800000  ,영업
220,소프티,서울특별시 구로구 신도림동 692번지 디큐브시티 ,"서울특별시 구로구 경인로 662, 지하2층 (신도림동, 디큐브시티)",20180720,운영중,,,,,13.20,152706,,,2018,N,,13.2,,,휴게음식점,백화점,,,190210.51179400000  ,445488.90097600000  ,영업
221,빵어니스타,서울특별시 양천구 목동 916번지 현대하이페리온 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",20180807,운영중,,,,,6.00,158724,상수도전용,,2018,N,,6,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
222,제주 산도위치,서울특별시 양천구 목동 916번지 현대하이페리온 ,"서울특별시 양천구 목동동로 257, 현대백화점 목동점 지하2층 (목동, 현대하이페리온)",20180807,운영중,,,,,10.00,158724,상수도전용,,2018,N,,10,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
223,원기정,서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점 ,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)",20180718,운영중,,,,,5.00,120706,,,2018,N,,5,,,휴게음식점,백화점,,,194331.32127800000  ,450730.57764800000  ,영업
224,마이알레,서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"서울특별시 강남구 테헤란로 517, 현대백화점 지상5층 (삼성동)",20180517,운영중,,,,,98.35,135730,,,2018,N,,98.35,,,휴게음식점,백화점,,02  36789468,205284.14694200000  ,445461.97226000000  ,영업
225,위고에빅토르,서울특별시 강남구 압구정동 494번지 갤러리아백화점 ,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",20180810,운영중,,,,,10.00,135902,,,2018,N,,10,,,휴게음식점,백화점,,,203540.83196500000  ,447666.62184300000  ,영업
226,나마도라,서울특별시 중구 소공동 1번지 롯데백화점 지하1층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 지하1층)",20150810,운영중,,,,,7.60,100070,,,2015,N,,7.6,,,휴게음식점,백화점,,02  69254610,198385.90413900000  ,451688.49847700000  ,영업
227,타비타비,서울특별시 강남구 압구정동 429번지 현대백화점본점 지하1층 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점본점)",20150803,운영중,,,,,12.00,135724,,,2015,N,,12,,,휴게음식점,백화점,,0262054037,202425.36340700000  ,447541.58378500000  ,영업
228,더키친,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",20020829,운영중,,,,,23.00,158050,,0,2002,N,,23,0,,휴게음식점,백화점,0,,189005.13921600000  ,447530.11434800000  ,영업
229,(주)현대그린푸드한솔냉면목동점,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",20020829,운영중,,,,,29.04,158050,,0,2002,N,,29.04,0,,휴게음식점,백화점,0,0221632174,189005.13921600000  ,447530.11434800000  ,영업
230,스타벅스현대목동점,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",20020829,운영중,,,,,175.42,158050,,0,2002,N,,175.42,0,,휴게음식점,백화점,0,0221631750,189005.13921600000  ,447530.11434800000  ,영업
231,수,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",20020829,운영중,,,,,26.00,158050,,0,2002,N,,26,0,,휴게음식점,백화점,0,,189005.13921600000  ,447530.11434800000  ,영업
232,한무쇼핑(주)목동점행사장,서울특별시 양천구 목동 916번지 현대백화점 지하2층동 ,"서울특별시 양천구 목동동로 257, 지하2층동 (목동,현대백화점)",20020829,운영중,,,,,29.00,158050,,0,2002,N,,29,0,,휴게음식점,백화점,0,,189005.13921600000  ,447530.11434800000  ,영업
233,라비에제,"서울특별시 양천구 목동 919-7번지 지하2층,홈플러스목동점 (목동서로 170) ","서울특별시 양천구 목동서로 170 (목동,홈플러스목동점(목동서로 170))",20090703,운영중,,,,,6.60,158050,,,2009,N,,6.6,,,휴게음식점,백화점,,,188801.04305600000  ,447868.44499700000  ,영업
234,오사카델리,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257 (목동, 현대백화점 지하2층)",20120806,운영중,,,,,10.00,158050,,,2012,N,,10,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
235,공차,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257 (목동, 현대백화점 지하2층)",20120810,운영중,,,,,10.00,158050,,,2012,N,,10,,,휴게음식점,백화점,,02  31440743,189005.13921600000  ,447530.11434800000  ,영업
236,폼피,서울특별시 중구 을지로6가 17-2번지 ,"서울특별시 중구 장충단로13길 20, 지하2층 (을지로6가)",20160321,운영중,,,,,6.50,100850,,,2016,N,,6.5,,,휴게음식점,백화점,,,200677.31425100000  ,452132.83536500000  ,영업
237,한국맥도날드(유) 코엑스점,서울특별시 강남구 삼성동 159번지 ,"서울특별시 강남구 영동대로 513, 지하1층 (삼성동, 코엑스점)",20160411,운영중,,,,,431.70,135090,,,2016,N,,431.7,,,휴게음식점,백화점,,07070184500,205230.34201100000  ,445818.07172100000  ,영업
238,그릴로우 미아점,서울특별시 성북구 길음동 20-1번지 ,서울특별시 성북구 동소문로 315 (길음동),20140804,운영중,,,,,10.50,136800,,,,,,,,,,,,,202538.01047000000  ,456535.59078600000  ,영업
239,파주닭국수,서울특별시 양천구 목동 916번지 목동현대백화점 지하2층 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 목동현대백화점)",20160803,운영중,,,,,10.00,158050,상수도전용,,2016,N,,10,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
240,바사칸왕새우튀김,서울특별시 강남구 대치동 937번지 ,"서울특별시 강남구 도곡로 401, 지하1층 (대치동, 롯데백화점)",20160803,운영중,,,,,7.20,135998,,,2016,N,,7.2,,,휴게음식점,백화점,,,204783.36435600000  ,444196.72754400000  ,영업
241,트라이비푸드(주) (바로크),서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점 본점)",20160803,운영중,,,,,5.00,135900,,,2016,N,,5,,,휴게음식점,백화점,,027929474,202425.36340700000  ,447541.58378500000  ,영업
242,(주)미성에프앤씨서울만두현대목동점,서울특별시 양천구 목동 916번지 현대백화점목동점 지하2층 식품관 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점목동점 식품관)",20160728,운영중,,,,,10.00,158050,상수도전용,,2016,N,,10,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
243,대왕커피,서울특별시 강남구 압구정동 429번지 ,"서울특별시 강남구 압구정로 165, 지하1층 (압구정동, 현대백화점)",20161013,운영중,,,,,4.62,135900,,,2016,N,,4.62,,,휴게음식점,백화점,,,202425.36340700000  ,447541.58378500000  ,영업
244,한만두식품,서울특별시 중구 충무로1가 52-5번지 지하1층 ,"서울특별시 중구 소공로 63 (충무로1가, 지하1층)",20161229,운영중,,,,,3.30,100011,,,2016,N,,3.3,,,휴게음식점,백화점,,031 321 6567,198319.45712900000  ,451265.54198300000  ,영업
245,키세키,서울특별시 양천구 목동 916번지 현대백화점 식품관 지하2 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대백화점내 식품관)",20170221,운영중,,,,,8.00,158050,,,2017,N,,8,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
246,엠 부띠끄,서울특별시 서초구 잠원동 70-2번지 뉴코아아울렛 지하1층 ,"서울특별시 서초구 잠원로 51, 지하1층 (잠원동, 뉴코아아울렛  )",20170215,운영중,,,,,11.90,137908,,,2017,Y,,11.9,,,휴게음식점,백화점,,,200657.70407200000  ,445529.60189500000  ,영업
247,재우스키친,서울특별시 강남구 삼성동 159-7번지 ,"서울특별시 강남구 테헤란로 517, 지하1층 (삼성동, 현대백화점)",20170214,운영중,,,,,9.90,135090,,,2017,N,,9.9,,,휴게음식점,백화점,,,205284.14694200000  ,445461.97226000000  ,영업
248,라메종뒤쇼콜라,서울특별시 강남구 압구정동 494번지 ,"서울특별시 강남구 압구정로 343, 지하1층 (압구정동, 갤러리아백화점)",20170208,운영중,,,,,5.00,135906,,,2017,N,,5,,,휴게음식점,백화점,,07043223530,203540.83196500000  ,447666.62184300000  ,영업
249,다리집,서울특별시 강남구 대치동 937번지 롯데백화점 ,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",20180313,운영중,,,,,19.80,135704,,,2018,N,,19.8,,,휴게음식점,백화점,,,204783.36435600000  ,444196.72754400000  ,영업
250,시마스시,서울특별시 강남구 대치동 937번지 롯데백화점 ,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",20180313,운영중,,,,,47.60,135704,,,2018,N,,47.6,,,휴게음식점,백화점,,02  416 8481,204783.36435600000  ,444196.72754400000  ,영업
251,(주)허유산코리아 현대백화점 신촌점,서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점 지하1층 ,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)",20170921,운영중,,,,,9.60,120706,,,2017,N,,9.6,,,휴게음식점,백화점,,02  548 7086,194331.32127800000  ,450730.57764800000  ,영업
252,리코푸드코리아(플로리다랑군),서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점 지하1층 ,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)",20180420,운영중,,,,,6.60,120706,상수도전용,,2018,N,,6.6,,,휴게음식점,백화점,,,194331.32127800000  ,450730.57764800000  ,영업
253,호디박스,서울특별시 구로구 구로동 573번지 애경백화점 ,"서울특별시 구로구 구로중앙로 152, 애경백화점 지하1층 (구로동)",20180307,운영중,,,,,3.30,152715,,,2018,N,,3.3,,,휴게음식점,백화점,,,189634.33807700000  ,444639.33581900000  ,영업
254,제과명장1호 박찬회화과자,서울특별시 강남구 대치동 937번지 롯데백화점 ,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",20180309,운영중,,,,,8.30,135704,,,2018,N,,8.3,,,휴게음식점,백화점,,032 578 8905,204783.36435600000  ,444196.72754400000  ,영업
255,ZAKUZAKU,서울특별시 중구 소공동 1번지 롯데백화점 본점 지하1층 ,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",20180426,운영중,,,,,18.78,100070,,,2018,N,,18.78,,,휴게음식점,백화점,,,198385.90413900000  ,451688.49847700000  ,영업
256,에그드랍,서울특별시 양천구 목동 916번지 현대하이페리온 ,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",20180516,운영중,,,,,15.00,158724,,,2018,N,,15,,,휴게음식점,백화점,,,189005.13921600000  ,447530.11434800000  ,영업
